Chevrolet,Spark 1.4 Premier,Chevrolet Spark 1.4 Premier,"P 734,888 (AT)"
Chevrolet,Suburban 5.3 4WD Z71,Chevrolet Suburban 5.3 4WD Z71,"P 8,634,888 (AT)"
Chevrolet,Suburban 5.3 4WD High Country,Chevrolet Suburban 5.3 4WD High Country,"P 9,636,888 (AT)"
Chevrolet,Tahoe 5.3 4WD Z71,Chevrolet Tahoe 5.3 4WD Z71,"P 7,702,888 (AT)"
Chevrolet,Tahoe 5.3 4WD High Country,Chevrolet Tahoe 5.3 4WD High Country,"P 8,692,888 (AT)"
Chevrolet,Tracker 1.0 LS,Chevrolet Tracker 1.0 LS,"P 1,218,888 (AT)"
Chevrolet,Tracker 1.0 LT Redline,Chevrolet Tracker 1.0 LT Redline,"P 1,292,888 (AT)"
Chevrolet,Trailblazer 1.3T LT,Chevrolet Trailblazer 1.3T LT,"P 1,518,888 (AT)"
Chevrolet,Trailblazer 1.3T Premier,Chevrolet Trailblazer 1.3T Premier,"P 1,701,888 (AT)"
Dodge,Challenger GT 3.6 V6,Dodge Challenger GT 3.6 V6,"P 4,490,000 (AT)"
Dodge,Challenger R/T Scatpack 6.4 Hemi V8,Dodge Challenger R/T Scatpack 6.4 Hemi V8,"P 5,490,000 (AT)"
Dodge,Challenger R/T Scatpack 6.4 Hemi V8 Wide Body,Dodge Challenger R/T Scatpack 6.4 Hemi V8 Wide Body,"P 5,780,000 (AT)"
Dodge,Charger R/T Scatpack 6.4 Hemi V8 Wide Body,Dodge Charger R/T Scatpack 6.4 Hemi V8 Wide Body,"P 5,780,000 (AT)"
Dongfeng,Captain T Cab & Chassis,Dongfeng Captain T Cab & Chassis,"P 880,000 (MT)"
Dongfeng,Captain E Cab & Chassis,Dongfeng Captain E Cab & Chassis,"P 1,035,000 (MT)"
Dongfeng,Captain N Cab & Chassis 14-ft,Dongfeng Captain N Cab & Chassis 14-ft,"P 1,265,000 (MT)"
Dongfeng,Captain N Cab & Chassis 16-ft,Dongfeng Captain N Cab & Chassis 16-ft,"P 1,400,000 (MT)"
Dongfeng,Modern PUV Class 2 4-Wheeler,Dongfeng Modern PUV Class 2 4-Wheeler,"P 2,190,000 (MT)"
Dongfeng,Modern PUV Class 2 6-Wheeler,Dongfeng Modern PUV Class 2 6-Wheeler,"P 2,650,000 (MT)"
Dongfeng,Modern PUV Class 3 6-Wheeler,Dongfeng Modern PUV Class 3 6-Wheeler,"P 2,665,000 (MT)"
Dongfeng,Minibus 33-Seater,Dongfeng Minibus 33-Seater,"P 3,030,000 (MT)"
Dongfeng,Rich 6 2WD,Dongfeng Rich 6 2WD,"P 1,145,000 (MT)"
Dongfeng,Rich 6 2WD,Dongfeng Rich 6 2WD,"P 1,255,000 (AT)"
Ford,Everest 2.0 Turbo Trend 4x2,Ford Everest 2.0 Turbo Trend 4x2,"P 1,799,000 (AT)"
Ford,Everest 2.0 Turbo Limited 4x2,Ford Everest 2.0 Turbo Limited 4x2,"P 2,019,000 (AT)"
Ford,Everest 2.0 Turbo Sport 4x2,Ford Everest 2.0 Turbo Sport 4x2,"P 2,109,000 (AT)"
Ford,Everest 2.0 Turbo Titanium+ 4x2,Ford Everest 2.0 Turbo Titanium+ 4x2,"P 2,209,000 (AT)"
Ford,Everest 2.0 Bi-Turbo Titanium+ 4x4,Ford Everest 2.0 Bi-Turbo Titanium+ 4x4,"P 2,525,000 (AT)"
Ford,Explorer 2.3 EcoBoost Limited AWD,Ford Explorer 2.3 EcoBoost Limited AWD,"P 3,298,000 (AT)"
Ford,F-150 3.0 V6 Power Stroke Lariat Sport 4x4,Ford F-150 3.0 V6 Power Stroke Lariat Sport 4x4,"P 3,398,000 (AT)"
Ford,Mustang 2.3 EcoBoost Premium,Ford Mustang 2.3 EcoBoost Premium,"P 3,048,000 (AT)"
Ford,Mustang 5.0 V8 GT Premium Fastback,Ford Mustang 5.0 V8 GT Premium Fastback,"P 3,638,000 (AT)"
Ford,Mustang 5.0 V8 GT Premium Convertible,Ford Mustang 5.0 V8 GT Premium Convertible,"P 3,818,000 (AT)"
Ford,Mustang Shelby GT500,Ford Mustang Shelby GT500,"P 7,760,000 (AT)"
Ford,Ranger 2.0 Turbo XL 4x4,Ford Ranger 2.0 Turbo XL 4x4,"P 1,249,000 (MT)"
Ford,Ranger 2.0 Turbo XLS 4x2,Ford Ranger 2.0 Turbo XLS 4x2,"P 1,249,000 (MT)"
Ford,Ranger 2.0 Turbo XLS 4x2,Ford Ranger 2.0 Turbo XLS 4x2,"P 1,324,000 (AT)"
Ford,Ranger 2.0 Turbo XLT 4x2,Ford Ranger 2.0 Turbo XLT 4x2,"P 1,379,000 (AT)"
Ford,Ranger 2.0 Turbo Sport 4x2,Ford Ranger 2.0 Turbo Sport 4x2,"P 1,494,000 (AT)"
Ford,Ranger 2.0 Turbo Sport 4x4,Ford Ranger 2.0 Turbo Sport 4x4,"P 1,614,000 (AT)"
Ford,Ranger 2.0 Turbo Wildtrak 4x2,Ford Ranger 2.0 Turbo Wildtrak 4x2,"P 1,604,000 (AT)"
Ford,Ranger 2.0 Bi-Turbo Wildtrak 4x4,Ford Ranger 2.0 Bi-Turbo Wildtrak 4x4,"P 1,910,000 (AT)"
Ford,Ranger Raptor 2.0 Bi-Turbo AWD,Ford Ranger Raptor 2.0 Bi-Turbo AWD,"P 2,339,000 (AT)"
Ford,Territory 1.5T Titanium,Ford Territory 1.5T Titanium,"P 1,399,000 (AT)"
Ford,Territory 1.5T Titanium X,Ford Territory 1.5T Titanium X,"P 1,599,000 (AT)"
Foton,Gratour Midi Dropside,Foton Gratour Midi Dropside,"P 570,000 (MT)"
Foton,Gratour Midi F-Van,Foton Gratour Midi F-Van,"P 665,000 (MT)"
Foton,Gratour Midi Wing Van,Foton Gratour Midi Wing Van,"P 715,000 (MT)"
Foton,Gratour Midi MPV,Foton Gratour Midi MPV,"P 690,000 (MT)"
Foton,Gratour Midi MPV Dual AC,Foton Gratour Midi MPV Dual AC,"P 750,000 (MT)"
Foton,Harabas TM 300 Cab & Chassis,Foton Harabas TM 300 Cab & Chassis,"P 755,000 (MT)"
Foton,Harabas TM 300 Dropside,Foton Harabas TM 300 Dropside,"P 790,000 (MT)"
Foton,Harabas TM 300 F-Van ,Foton Harabas TM 300 F-Van ,"P 880,000 (MT)"
Foton,Harabas TM 300 Wingvan,Foton Harabas TM 300 Wingvan,"P 905,000 (MT)"
Foton,Harabas TM 300 MPV,Foton Harabas TM 300 MPV,"P 905,000 (MT)"
Foton,Harabas TM 300 MPV Premium,Foton Harabas TM 300 MPV Premium,"P 985,000 (MT)"
